dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,11.250000,0.000005,0.001000,0.100000,10.000000,0.000000
0.010000,0.000000,11.250000,0.000005,0.000000,-0.100000,-20.000000,0.000000
0.010000,0.000000,11.250000,0.000005,0.000000,0.000000,10.000000,0.000000
0.010000,0.000050,11.250000,0.000055,0.005000,0.500000,50.000000,0.000000
0.010000,0.000175,11.250000,0.000180,0.012500,0.750000,25.000000,0.000000
0.010000,0.000355,11.250000,0.000360,0.018000,0.550000,-20.000000,0.000000
0.010000,0.000600,11.250000,0.000605,0.024500,0.650000,10.000000,0.000000
0.010000,0.000920,11.250000,0.000925,0.032000,0.750000,10.000000,0.000000
0.010000,0.001325,11.250000,0.001330,0.040500,0.850000,10.000000,0.000000
0.010000,0.001825,11.250000,0.001830,0.050000,0.950000,10.000000,0.000000
0.010000,0.002430,11.250000,0.002435,0.060500,1.050000,10.000000,0.000000
0.010000,0.003150,11.250000,0.003155,0.072000,1.150000,10.000000,0.000000
0.010000,0.003995,11.250000,0.004000,0.084500,1.250000,10.000000,0.000000
0.010000,0.004975,11.250000,0.004980,0.098000,1.350000,10.000000,0.000000
0.010000,0.006100,11.250000,0.006105,0.112500,1.450000,10.000000,0.000000
0.010000,0.007380,11.250000,0.007385,0.128000,1.550000,10.000000,0.000000
0.010000,0.008825,11.250000,0.008830,0.144500,1.650000,10.000000,0.000000
0.010000,0.010445,11.250000,0.010450,0.162000,1.750000,10.000000,0.000000
0.010000,0.012250,11.250000,0.012255,0.180500,1.850000,10.000000,0.000000
0.010000,0.014250,11.250000,0.014255,0.200000,1.950000,10.000000,0.000000
0.010000,0.016455,11.250000,0.016460,0.220500,2.050000,10.000000,0.000000
0.010000,0.018875,11.250000,0.018880,0.242000,2.150000,10.000000,0.000000
0.010000,0.021520,11.250000,0.021525,0.264500,2.250000,10.000000,0.000000
0.010000,0.024400,11.250000,0.024405,0.288000,2.350000,10.000000,0.000000
0.010000,0.027525,11.250000,0.027530,0.312500,2.450000,10.000000,0.000000
0.010000,0.030905,11.250000,0.030910,0.338000,2.550000,10.000000,0.000000
